Area_Name,BHK,Amenities_Count,Balcony_Count,Market_Distance_KM,Building_Age,Floor_Number,Parking_Spaces,Bathrooms,Area,Ready_To_Move_In_Months,Price
1,4,15,2,3.2,5,34,1,3,1265,19,26146498
1,1,20,4,2.6,19,22,1,1,1510,9,20699816
1,2,14,2,0.9,20,22,1,2,998,17,19283296
1,2,8,3,4.6,20,11,3,2,609,9,12708093
1,2,7,2,2,17,25,1,1,3481,1,25167618
1,1,14,4,4.4,2,23,3,1,1605,3,21367839
1,2,4,3,2.1,6,34,1,2,2004,9,31680742
1,2,18,4,3.9,16,3,3,2,3325,22,33231015
1,5,16,4,0.7,19,20,2,4,1241,22,25044905
1,1,16,4,0.9,20,2,2,1,3403,1,49747162
1,2,19,4,0.3,20,9,1,1,2888,20,27503785
1,1,17,1,3.7,19,3,1,1,3228,2,37838848
1,2,5,1,2,15,27,3,2,1210,4,20408547
1,2,13,2,2.4,19,1,1,2,2577,6,37313429
1,5,18,3,4.1,14,24,1,5,935,10,24169886
1,2,14,3,4.4,2,9,2,2,1932,20,31430314
1,2,13,3,1.6,4,14,2,2,1750,6,25474035
1,2,19,2,4,12,15,3,2,3206,16,47531558
1,3,10,2,4.9,1,33,2,3,860,3,13541386
1,2,10,2,3.8,13,33,2,2,2489,12,38052567
1,2,16,3,3,19,15,1,2,3256,16,50398812
1,4,15,4,3.4,5,20,2,4,1214,23,24720363
1,2,5,1,2,11,14,2,2,803,21,22733081
1,3,18,4,3.7,18,35,2,3,3164,19,33161064
1,1,5,2,4.9,8,6,1,1,1679,14,27951313
1,5,14,2,2.4,13,34,3,5,2135,16,27449823
1,5,9,3,0.8,4,11,1,5,2311,10,39172223
1,3,8,4,4.1,17,32,3,3,865,21,22979988
1,2,9,3,2.7,13,25,2,1,642,2,23589298
1,2,18,4,1.2,3,4,1,2,1848,2,32275878
1,2,16,4,2.2,20,15,3,2,3043,20,39760134
1,2,16,1,2.2,7,15,3,1,1001,20,22097281
1,4,16,2,4.3,8,29,1,4,1923,9,30967093
1,3,15,2,1.8,12,1,1,2,2765,6,32374273
1,5,20,3,3.2,10,3,3,5,1464,3,25404103
1,4,7,4,4.7,6,2,3,4,2358,13,36048271
1,3,12,1,3.3,12,33,3,3,893,19,23825415
1,2,10,3,0.3,6,4,1,2,849,21,24730324
1,2,8,1,2.5,9,19,3,1,1494,14,24969890
2,2,12,3,2.7,2,13,1,2,1446,10,32906504
2,5,18,2,0.9,19,29,1,4,2383,20,43557863
2,3,7,1,2.6,12,30,2,2,2914,23,55268709
2,3,15,4,4.9,9,3,3,3,1031,0,34140570
2,3,16,1,3.5,17,12,3,2,797,24,20015856
2,2,20,1,4.2,9,11,1,2,1843,10,41400463
2,2,11,2,1.1,7,17,2,2,858,16,34598083
2,3,10,1,3.7,9,13,2,3,640,14,28545326
2,2,20,3,3.5,16,11,1,2,2534,22,47627460
2,3,20,1,0.9,1,22,1,3,1040,16,28081846
2,3,16,1,1.5,18,8,3,3,791,10,27495950
2,3,11,3,0.3,10,23,3,3,1288,1,27856411
2,1,17,4,0.9,5,28,1,1,2572,16,40344609
2,4,4,4,3.7,0,31,3,3,2012,12,49684709
2,5,18,4,2.6,0,33,2,4,1416,13,39502888
2,3,9,3,4,20,20,1,3,767,6,32267291
2,4,12,2,5,12,25,1,3,837,21,27439340
2,5,10,1,4.1,20,1,3,5,811,6,34471271
2,4,11,3,0.8,15,19,2,4,3096,15,54799025
2,2,16,4,2.4,20,6,3,2,2313,15,36425346
2,1,8,1,1.1,6,34,2,1,2105,23,39066420
2,2,9,1,3,15,21,1,2,894,7,23102095
2,1,13,4,3.5,18,24,2,1,566,10,26268366
2,2,4,3,4.8,10,33,1,2,3109,23,48594709
2,4,20,3,4.5,3,22,1,3,2713,7,34968062
2,3,5,2,1.3,14,33,3,3,1611,7,26670098
2,3,18,1,0.8,9,1,3,2,773,3,34785942
2,3,10,3,0.5,20,23,2,3,1093,12,34326081
2,3,14,3,1.9,14,1,3,3,2046,4,45669175
2,3,13,1,4.9,17,11,2,3,1309,23,30068386
2,5,6,1,0.3,1,8,2,5,2834,18,57330211
2,4,4,4,2.3,0,25,2,4,1737,2,42562167
2,4,15,4,4,10,25,3,4,1624,2,29580707
3,1,8,4,3.8,3,14,2,1,3085,6,41912780
3,1,15,4,2.1,4,27,1,1,2787,19,38499857
3,3,5,2,1.1,17,13,1,2,1124,2,34144565
3,2,12,4,3.9,4,7,2,2,2392,13,44115124
3,2,4,2,3.2,14,16,2,1,2809,19,44341027
3,5,9,3,4.3,14,10,3,5,1495,4,46282134
3,3,20,4,4.2,16,8,1,3,949,23,28348333
3,2,16,2,3.2,13,5,3,2,2811,13,57930366
3,1,15,2,0.5,18,34,3,1,1585,4,39684053
3,4,4,2,0.7,19,24,2,4,794,3,25458440
3,2,17,1,1.2,19,32,1,1,1899,12,43156638
3,4,14,2,1.1,13,14,1,4,2683,18,36011467
3,1,10,2,1.3,11,31,3,1,716,18,25022477
3,3,17,4,0.3,5,30,3,3,1690,24,34625733
3,1,7,2,3.8,18,12,1,1,927,2,31069837
3,2,11,2,3.5,13,12,3,2,744,19,33591400
3,4,17,3,0.4,6,35,1,3,1636,5,49233824
3,2,10,1,4.8,2,30,1,1,2111,22,49034775
3,1,7,4,4.7,20,17,3,1,3246,10,48546488
3,5,19,1,2.5,11,8,2,5,1420,16,32055109
3,5,13,3,1.9,9,2,2,4,3299,24,44937295
